memo,sim1,sim2,sim3,sim4,sim5,sim6,simp,vendor,ext1,accuracy,ext2,accuracy,ext3,accuracy,ext4,accuracy,failed,output,accuracy
""" NUTS ON CLARK "" CHICAGO IL VOR5AA squareup.com/receipts",""" NUTS ON CLARK "" CHICAGO IL VOR5AA squareup.com/receipts",""" NUTS ON CLARK "" CHICAGO IL squareup.com/receipts",,""" NUTS ON CLARK "" CHICAGO IL VOR5AA squareup.com/receipts",,""" NUTS ON CLARK "" CHICAGO IL VOR5AA squareup.com/receipts",""" NUTS ON CLARK "" CHICAGO IL VOR5AA squareup.com/receipts",Nuts on Clark, NUTS ON CLARK ,0.9285714285714286,""" ",0.13333333333333333,,0.0,,0.0,extracted, NUTS ON CLARK ,0.9285714285714286
1 800 BAKERY 1 800 BAKERY WINCHESTER MA Ref25247809P01 Crd6153 Dt11/06,1 800 BAKERY 1 800 BAKERY WINCHESTER MA 25247809P01 6153 Dt11/06,1 800 BAKERY 1 800 BAKERY WINCHES,1 800 BAKERY 1 800 BAKERY WINCHESTER MA P01,1 800 BAKERY 1 800 BAKERY WINCHESTER MA Ref25247809P01 Crd6153 Dt11/06,,,1 800 BAKERY 1 800 BAKERY WINCHESTER MA 25247809P01 6153 Dt11/06,1-800-Bakery,,0.0,1 800 BAKERY ,0.8,,0.0,,0.0,extracted,1 800 BAKERY ,0.8
1 800 BAKERY 1 800 BAKERY WINCHESTER MA Ref2524780A503 Crd6153 Dt11/20,1 800 BAKERY 1 800 BAKERY WINCHESTER MA 2524780A503 6153 Dt11/20,1 800 BAKERY 1 800 BAKERY WINCHES,1 800 BAKERY 1 800 BAKERY WINCHESTER MA A503,1 800 BAKERY 1 800 BAKERY WINCHESTER MA Ref2524780A503 Crd6153 Dt11/20,,,1 800 BAKERY 1 800 BAKERY WINCHESTER MA 2524780A503 6153 Dt11/20,1-800-Bakery,,0.0,1 800 BAKERY ,0.8,,0.0,,0.0,extracted,1 800 BAKERY ,0.8
1 800 BAKERY 1 800 BAKERY WINCHESTER MA Ref2524780A603 Crd6153 Dt11/21,1 800 BAKERY 1 800 BAKERY WINCHESTER MA 2524780A603 6153 Dt11/21,1 800 BAKERY 1 800 BAKERY WINCHES,1 800 BAKERY 1 800 BAKERY WINCHESTER MA A603,1 800 BAKERY 1 800 BAKERY WINCHESTER MA Ref2524780A603 Crd6153 Dt11/21,,,1 800 BAKERY 1 800 BAKERY WINCHESTER MA 2524780A603 6153 Dt11/21,1-800-Bakery,,0.0,1 800 BAKERY ,0.8,,0.0,,0.0,extracted,1 800 BAKERY ,0.8
11/01 INVOICE2GO 650-300-5180 CA Debit Card,11/01 INVOICE2GO 650-300-5180,11/01 650-300-5180 CA Debit Card,INVOICE2GO 650-300-5180 CA Debit Card,11/01 INVOICE2GO 650-300-5180 CA Debit Card,,,11/01 INVOICE2GO 650-300-5180,invoice2go,,0.0,,0.0,11/01 INVOICE2GO,0.7692307692307693,,0.0,extracted,11/01 INVOICE2GO,0.7692307692307693
11/03 CALZONES PIZZA C SAN FRANC 11/03 CALZONES PIZZA C SAN FRANCISCOCA Debit Card,11/03 CALZONES PIZZA C SAN FRANC 11/03 CALZONES PIZZA C SAN FRANCISCOCA ,11/03 CALZONES PIZZA C SAN FRANC 11/03 CALZONES PIZZA C SAN FRANCISCOCA Debit Card,CALZONES PIZZA C SAN FRANC CALZONES PIZZA C SAN FRANCISCOCA Debit Card,11/03 CALZONES PIZZA C SAN FRANC 11/03 CALZONES PIZZA C SAN FRANCISCOCA Debit Card,,,11/03 CALZONES PIZZA C SAN FRANC 11/03 CALZONES PIZZA C SAN FRANCISCOCA ,Calzones Pizza,,0.0,11/03 CALZONES PIZZA C SAN ,0.6829268292682927,,0.0,,0.0,extracted,11/03 CALZONES PIZZA C SAN ,0.6829268292682927
11/03 SQ *TURTLE TOWER SAN FRANC 11/03 SQ *TURTLE TOWER SAN FRANCISCOCA Debit Card,11/03 SQ *TURTLE TOWER SAN FRANC 11/03 SQ *TURTLE TOWER SAN FRANCISCOCA ,11/03 SQ *TURTLE TOWER SAN FRANC 11/03 SQ *TURTLE TOWER SAN FRANCISCOCA Debit Card,SQ *TURTLE TOWER SAN FRANC SQ *TURTLE TOWER SAN FRANCISCOCA Debit Card,11/03 SQ *TURTLE TOWER SAN FRANC 11/03 SQ *TURTLE TOWER SAN FRANCISCOCA Debit Card,TURTLE TOWER SAN FRANCISCOCA Debit Card,,11/03 SQ *TURTLE TOWER SAN FRANC 11/03 SQ *TURTLE TOWER SAN FRANCISCOCA ,Turtle Tower,,0.0,11/03 SQ *TURTLE TOWER SAN ,0.6153846153846154,,0.0,,0.0,extracted,11/03 SQ *TURTLE TOWER SAN ,0.6153846153846154
11/05 82636 - 100 N. L LOS ANGEL 11/05 82636 - 100 N. L LOS ANGELES CA Debit Card,11/05 82636 - 100 N. L LOS ANGEL 11/05 82636 - 100 N. L LOS ANGELES,S S ANGELES CA Debit Card,82636 - 100 N. L LOS ANGEL 82636 - 100 N. L LOS ANGELES CA Debit Card,11/05 82636 - 100 N. L LOS ANGEL 11/05 82636 - 100 N. L LOS ANGELES CA Debit Card,,11/05 82636 - 100 N. L LOS ANGEL 11/05 82636 - 100 N. L LOS ANGELES CA Debit Card,11/05 82636 - 100 N. L LOS ANGEL 11/05 82636 - 100 N. L LOS ANGELES,100 N. Los Angelos,,0.0,11/05 82636 - 100 N. L LOS ,0.4888888888888889,,0.0,,0.0,extracted,11/05 82636 - 100 N. L LOS ,0.4888888888888889
11/05 LOS ANGELES INTE LOS ANGEL 11/05 LOS ANGELES INTE LOS ANGELES CA Debit Card,11/05 LOS ANGELES INTE LOS ANGEL 11/05 LOS ANGELES INTE LOS ANGELES,11/05 LOS ANGELES INTE LOS ANGEL 11/05 LOS ANGELES INTE LOS ANGELES CA Debit Card,LOS ANGELES INTE LOS ANGEL LOS ANGELES INTE LOS ANGELES CA Debit Card,11/05 LOS ANGELES INTE LOS ANGEL 11/05 LOS ANGELES INTE LOS ANGELES CA Debit Card,,,11/05 LOS ANGELES INTE LOS ANGEL 11/05 LOS ANGELES INTE LOS ANGELES,Los Anges Inte,,0.0,LOS 11/05 LOS ANGELES INTE LOS ANGELES ,0.5283018867924528,,0.0,,0.0,extracted,LOS 11/05 LOS ANGELES INTE LOS ANGELES ,0.5283018867924528
11/05 MERCADO SANTA MONICA CA De 11/05 MERCADO SANTA MONICA CA Debit Card,11/05 MERCADO SANTA MONICADe 11/05 MERCADO SANTA MONICA,11/05 MERCADO SANTA MONICA CA De 11/05 MERCADO SANTA MONICA CA Debit Card,MERCADO SANTA MONICA CA De MERCADO SANTA MONICA CA Debit Card,11/05 MERCADO SANTA MONICA CA De 11/05 MERCADO SANTA MONICA CA Debit Card,,,11/05 MERCADO SANTA MONICADe 11/05 MERCADO SANTA MONICA,Mercado Santa Monica,,0.0,11/05 MERCADO SANTA ,0.7,,0.0,,0.0,extracted,11/05 MERCADO SANTA ,0.7
